"filename", "language", "C++", "Markdown", "JSON", "Python", "comment", "blank", "total"
"d:\FDU_files\Tao_group\kiwi\MyKiwi\TODO.md", "Markdown", 0, 2, 0, 0, 0, 8, 10
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.03 test\note.md", "Markdown", 0, 80, 0, 0, 0, 48, 128
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.08 test\note.md", "Markdown", 0, 12, 0, 0, 0, 6, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.09 test\note.md", "Markdown", 0, 28, 0, 0, 0, 18, 46
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.1 test\note.md", "Markdown", 0, 82, 0, 0, 0, 50, 132
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.11test\note.md", "Markdown", 0, 150, 0, 0, 0, 29, 179
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.17 test\note.md", "Markdown", 0, 21, 0, 0, 0, 20, 41
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.24 test\note.md", "Markdown", 0, 16, 0, 0, 0, 10, 26
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.27 test\note.md", "Markdown", 0, 19, 0, 0, 0, 16, 35
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\algothrim.md", "Markdown", 0, 13, 0, 0, 0, 0, 13
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\exp.md", "Markdown", 0, 25, 0, 0, 0, 16, 41
"d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\trans_xlsx_to_json_incremental.py", "Python", 0, 0, 0, 37, 5, 11, 53
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\route_data.cc", "C++", 4, 0, 0, 0, 0, 2, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\route_data.hh", "C++", 1, 0, 0, 0, 0, -1, 0
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\commands.hh", "C++", -1, 0, 0, 0, 0, 0, -1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\connect.cc", "C++", -21, 0, 0, 0, 0, -8, -29
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\connect.hh", "C++", -12, 0, 0, 0, 0, -6, -18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\incremental_route.cc", "C++", 36, 0, 0, 0, 0, 7, 43
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\incremental_route.hh", "C++", 2, 0, 0, 0, 0, 0, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\sort.cc", "C++", -8, 0, 0, 0, -1, -1, -10
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\invoker.cc", "C++", -4, 0, 0, 0, 0, 0, -4
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\invoker.hh", "C++", -1, 0, 0, 0, 0, 0, -1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\mazeroutestrategy.cc", "C++", 0, 0, 0, 0, 16, 0, 16
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\cob_bits.cc", "C++", -9, 0, 0, 0, -1, -1, -11
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\cob_bits.hh", "C++", -5, 0, 0, 0, 0, -1, -6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\tob_bits.cc", "C++", -4, 0, 0, 0, 0, 0, -4
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\track_bits.cc", "C++", -3, 0, 0, 0, 0, 0, -3
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\maze\routing.cc", "C++", 38, 0, 0, 0, 3, 2, 43
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\cobrecorder.cc", "C++", 60, 0, 0, 0, 0, 15, 75
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\cobrecorder.hh", "C++", 6, 0, 0, 0, 0, 0, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\hardware_recorder.cc", "C++", 200, 0, 0, 0, 6, 33, 239
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\hardware_recorder.hh", "C++", 10, 0, 0, 0, 0, 2, 12
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\recorder.hh", "C++", 17, 0, 0, 0, 0, 2, 19
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\tobrecorder.cc", "C++", 68, 0, 0, 0, 0, 16, 84
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\tobrecorder.hh", "C++", 7, 0, 0, 0, 0, 0, 7
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\route_nets.cc", "C++", 1, 0, 0, 0, -1, -2, -2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\route_nets.hh", "C++", 2, 0, 0, 0, 0, 0, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\routeengine.cc", "C++", 7, 0, 0, 0, 2, 4, 13
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\routeengine.hh", "C++", 6, 0, 0, 0, 0, 0, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\cli\cli.cc", "C++", 5, 0, 0, 0, 0, 0, 5
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\kiwi.cc", "C++", 18, 0, 0, 0, 3, 2, 23
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\basedie.hh", "C++", 7, 0, 0, 0, 0, 1, 8
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\net.cc", "C++", 6, 0, 0, 0, 0, 1, 7
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\net.hh", "C++", 3, 0, 0, 0, 1, 1, 5
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbnet.cc", "C++", 30, 0, 0, 0, 0, 5, 35
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbsnet.cc", "C++", 3, 0, 0, 0, 0, 0, 3
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbsnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btnet.cc", "C++", 24, 0, 0, 0, 1, 1, 26
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btsnet.cc", "C++", 3, 0, 0, 0, 0, 1, 4
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btsnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\syncnet.cc", "C++", 46, 0, 0, 0, -2, 7, 51
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\syncnet.hh", "C++", 3, 0, 0, 0, 0, 0, 3
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbnet.cc", "C++", 24, 0, 0, 0, 1, 1, 26
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbsnet.cc", "C++", 3, 0, 0, 0, 0, 1, 4
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbsnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tsbsnet.cc", "C++", 3, 0, 0, 0, 0, 1, 4
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tsbsnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\path\pathpackage.cc", "C++", 293, 0, 0, 0, 12, 52, 357
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\path\pathpackage.hh", "C++", -52, 0, 0, 0, -2, -1, -55
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\file.cc", "C++", 13, 0, 0, 0, 0, 5, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\file.hh", "C++", 1, 0, 0, 0, 0, 1, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cob.cc", "C++", 12, 0, 0, 0, 0, 2, 14
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cob.hh", "C++", 2, 0, 0, 0, 0, 1, 3
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobdirection.hh", "C++", 7, 0, 0, 0, 0, 4, 11
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobregister.hh", "C++", 6, 0, 0, 0, 0, 2, 8
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobunit.cc", "C++", 17, 0, 0, 0, 0, 2, 19
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobunit.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\interposer.cc", "C++", 15, 0, 0, 0, 0, 3, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\interposer.hh", "C++", 3, 0, 0, 0, 4, 0, 7
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tob.cc", "C++", 63, 0, 0, 0, 0, 12, 75
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tob.hh", "C++", 11, 0, 0, 0, 0, -1, 10
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobconnector.cc", "C++", 7, 0, 0, 0, 0, 2, 9
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobconnector.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobmux.cc", "C++", 7, 0, 0, 0, 0, 2, 9
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobmux.hh", "C++", 2, 0, 0, 0, 0, 0, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\comparator\controlbits_parser.cc", "C++", 73, 0, 0, 0, 0, 17, 90
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\comparator\controlbits_parser.hh", "C++", 16, 0, 0, 0, 2, 10, 28
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\config\config.cc", "C++", 0, 0, 0, 0, 0, 1, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\controlbits\controlbits.cc", "C++", 6, 0, 0, 0, 0, 0, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\module.cc", "C++", 5, 0, 0, 0, 0, 1, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\module.hh", "C++", 2, 0, 0, 0, 0, 0, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\module.cc", "C++", 32, 0, 0, 0, 3, 3, 38
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\module.hh", "C++", 5, 0, 0, 0, 0, 1, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\prthread.h", "C++", 2, 0, 0, 0, -1, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\connections.json", "JSON", 0, 0, 1240, 0, 0, 1, 1241
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\interposer.json", "JSON", 0, 0, -1, 0, 0, 0, -1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\reigster_adder.json", "JSON", 0, 0, -1, 0, 0, 0, -1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\topdie_insts.json", "JSON", 0, 0, 96, 0, 0, 0, 96
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\topdies.json", "JSON", 0, 0, 16, 0, 0, 0, 16
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case19\connections.json", "JSON", 0, 0, -164, 0, 0, 1, -163
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\01_ports.json", "JSON", 0, 0, 150, 0, 0, 0, 150
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\config.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\connections.json", "JSON", 0, 0, 4258, 0, 0, 0, 4258
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\external_ports.json", "JSON", 0, 0, 666, 0, 0, 0, 666
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\interposer.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\reigster_adder.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\topdie_insts.json", "JSON", 0, 0, 114, 0, 0, 0, 114
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\topdies.json", "JSON", 0, 0, 118, 0, 0, 0, 118
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\module_test\test.cc", "C++", -12, 0, 0, 0, 14, 0, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\module_test\test_comparator.cc", "C++", 8, 0, 0, 0, 0, 11, 19
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\regression_test\incremental_test.cc", "C++", 64, 0, 0, 0, 5, 14, 83
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\regression_test\test.cc", "C++", 4, 0, 0, 0, 5, 6, 15
"Total", "-", 1196, 448, 6503, 37, 75, 469, 8728